AUC
Model name,Voting
PC4.arff.txt (All),0.923
PC4.arff.txt (CFS),0.914
PC4.arff.txt (RFE),0.93

F1 Score
Model name,Voting
PC4.arff.txt (All),0.43
PC4.arff.txt (CFS),0.542
PC4.arff.txt (RFE),0.562

False Positive Rate
Model name,Voting
PC4.arff.txt (All),0.294
PC4.arff.txt (CFS),0.196
PC4.arff.txt (RFE),0.182

False Negative Rate
Model name,Voting
PC4.arff.txt (All),0.034
PC4.arff.txt (CFS),0.0
PC4.arff.txt (RFE),0.0
