AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
PC4.arff(All),0.27,0.525,0.395,0.102,0.346,0.437,0.398,0.392
PC4.arff(CFS),0.319,0.537,0.507,0.52,0.43,0.525,0.499,0.5
PC4.arff(RFE),0.363,0.534,0.55,0.533,0.484,0.525,0.527,0.526
PC5.arff(All),0.386,0.485,0.475,0.431,0.429,0.486,0.503,0.487
PC5.arff(CFS),0.431,0.459,0.455,0.462,0.461,0.474,0.458,0.462
PC5.arff(RFE),0.418,0.5,0.473,0.487,0.458,0.504,0.495,0.491

False Positive Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.38,0.436,0.478,0.176,0.454,0.424,0.402,0.436
CM1.arff(CFS),0.438,0.35,0.374,0.382,0.422,0.358,0.374,0.368
CM1.arff(RFE),0.4,0.334,0.348,0.356,0.274,0.344,0.406,0.298
JM1.arff(All),0.322,0.566,0.468,0.38,0.396,0.542,0.534,0.43
JM1.arff(CFS),0.298,0.582,0.498,0.5,0.364,0.582,0.55,0.422
JM1.arff(RFE),0.474,0.578,0.518,0.552,0.442,0.574,0.554,0.472
KC1.arff(All),0.276,0.57,0.428,0.42,0.312,0.56,0.574,0.362
KC1.arff(CFS),0.272,0.582,0.402,0.392,0.3,0.574,0.584,0.342
KC1.arff(RFE),0.41,0.556,0.434,0.516,0.342,0.558,0.532,0.364
KC3.arff(All),0.5,0.568,0.426,0.332,0.35,0.458,0.458,0.342
KC3.arff(CFS),0.39,0.578,0.4,0.49,0.77,0.522,0.526,0.718
KC3.arff(RFE),0.37,0.486,0.52,0.4,0.75,0.49,0.452,0.652
KC4.arff(All),0.546,0.402,0.322,0.442,0.322,0.442,0.422,0.322
KC4.arff(CFS),0.546,0.382,0.322,0.416,0.322,0.442,0.482,0.322
KC4.arff(RFE),0.546,0.402,0.322,0.376,0.342,0.402,0.422,0.322
MC1.arff(All),0.186,0.036,0.024,0.036,0.092,0.006,0.026,0.016
MC1.arff(CFS),0.254,0.028,0.008,0.028,0.096,0.014,0.022,0.012
MC1.arff(RFE),0.176,0.024,0.008,0.016,0.332,0.004,0.018,0.014
MC2.arff(All),0.348,0.474,0.426,0.502,0.476,0.5,0.552,0.422
MC2.arff(CFS),0.426,0.378,0.226,0.148,0.448,0.424,0.424,0.398
MC2.arff(RFE),0.474,0.624,0.3,0.3,0.624,0.428,0.528,0.55
MW1.arff(All),0.42,0.174,0.226,0.108,0.304,0.138,0.224,0.188
MW1.arff(CFS),0.298,0.126,0.122,0.066,0.24,0.046,0.094,0.136
MW1.arff(RFE),0.326,0.184,0.16,0.176,0.204,0.03,0.13,0.094
PC1.arff(All),0.294,0.306,0.294,0.1,0.434,0.296,0.288,0.322
PC1.arff(CFS),0.338,0.254,0.24,0.046,0.34,0.212,0.236,0.272
PC1.arff(RFE),0.39,0.214,0.128,0.136,0.306,0.156,0.206,0.182
PC2.arff(All),0.254,0.09,0.074,0.014,0.216,0.05,0.076,0.096
PC2.arff(CFS),0.278,0.058,0.07,0.034,0.176,0.028,0.058,0.088
PC2.arff(RFE),0.22,0.064,0.076,0.05,0.218,0.048,0.078,0.106
PC3.arff(All),0.338,0.386,0.356,0.336,0.468,0.348,0.336,0.404
PC3.arff(CFS),0.364,0.362,0.322,0.272,0.428,0.328,0.344,0.372
PC3.arff(RFE),0.436,0.374,0.202,0.36,0.348,0.37,0.384,0.348
PC4.arff(All),0.352,0.216,0.33,0.192,0.44,0.31,0.346,0.362
PC4.arff(CFS),0.428,0.204,0.214,0.21,0.316,0.216,0.228,0.238
PC4.arff(RFE),0.412,0.21,0.192,0.204,0.254,0.216,0.216,0.216
PC5.arff(All),0.188,0.522,0.522,0.588,0.37,0.556,0.488,0.49
PC5.arff(CFS),0.428,0.56,0.476,0.538,0.426,0.6,0.546,0.468
PC5.arff(RFE),0.496,0.52,0.476,0.52,0.418,0.534,0.526,0.47

False Negative Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.5,0.25,0.3,0.65,0.2,0.15,0.15,0.15
CM1.arff(CFS),0.15,0.15,0.25,0.2,0.15,0.1,0.15,0.15
CM1.arff(RFE),0.25,0.15,0.2,0.3,0.3,0.15,0.15,0.15
JM1.arff(All),0.566,0.274,0.308,0.474,0.43,0.242,0.264,0.362
JM1.arff(CFS),0.606,0.264,0.276,0.292,0.46,0.216,0.286,0.36
JM1.arff(RFE),0.382,0.208,0.28,0.254,0.382,0.198,0.242,0.32
KC1.arff(All),0.57,0.32,0.362,0.384,0.494,0.282,0.316,0.44
KC1.arff(CFS),0.57,0.282,0.364,0.374,0.528,0.33,0.268,0.48
KC1.arff(RFE),0.458,0.302,0.364,0.362,0.478,0.294,0.322,0.43
KC3.arff(All),0.8,0.6,0.8,0.6,0.8,0.7,0.8,0.9
KC3.arff(CFS),0.3,0.3,0.3,0.3,0.0,0.3,0.4,0.1
KC3.arff(RFE),0.6,0.4,0.5,0.5,0.0,0.5,0.5,0.3
KC4.arff(All),0.128,0.034,0.266,0.134,0.394,0.102,0.034,0.268
